Bucket,Midpoint_Years,S(t_start),S(t_end),Marginal_Decay,Core_CF,Non_Core_CF,Total_CF,Model,CF_Percent
O/N,0.0027397260273972603,1.0,0.981447788768573,0.01855221123142703,289.16169771829624,3065.331089785541,3354.492787503837,Exponential,17.98491248079168
1M,0.0417,0.981447788768573,0.5701853128223442,0.4112624759462288,6410.090650056387,0.0,6410.090650056387,Exponential,34.36731769543962
2M,0.125,0.5701853128223442,0.3251112909583145,0.2450740218640297,3819.8152955917317,0.0,3819.8152955917317,Exponential,20.479711281516096
3M,0.2083,0.3251112909583145,0.1853736831371427,0.13973760782117178,2178.0025792405463,0.0,2178.0025792405463,Exponential,11.677230583562544
6M,0.375,0.1853736831371427,0.03436340239982978,0.15101028073731293,2353.702672215593,0.0,2353.702672215593,Exponential,12.619236125143859
9M,0.625,0.03436340239982978,0.006370070467980174,0.027993331931849608,436.31453335833936,0.0,436.31453335833936,Exponential,2.3392742788952026
1Y,0.875,0.006370070467980174,0.001075296717253016,0.005294773750727158,82.52632247960713,0.0,82.52632247960713,Exponential,0.44245994288208845
2Y,1.5,0.001075296717253016,1.156263030135113e-06,0.0010741404542228808,16.74195455498265,0.0,16.74195455498265,Exponential,0.08976098817395661
3Y,2.5,1.156263030135113e-06,1.243325840585312e-09,1.1550197042945276e-06,0.01800256877337203,0.0,0.01800256877337203,Exponential,9.651969592084237e-05
4Y,3.5,1.243325840585312e-09,1.336944194857233e-12,1.2419888963904547e-09,1.9358103104128598e-05,0.0,1.9358103104128598e-05,Exponential,1.037873121739411e-07
5Y,4.5,1.336944194857233e-12,1.437611703880459e-15,1.3355065831533524e-12,2.083811187340613e-08,0.0,2.083811187340613e-08,Exponential,1.1172229068557105e-10
O/N,0.0027397260273972603,1.0,0.9521048267702117,0.04789517322978831,746.5120696867027,3065.331089785541,3811.8431594722433,Weibull,20.43696915044696
1M,0.0417,0.9521048267702117,0.87390311706731,0.07820170970290163,1218.8810735325494,0.0,1218.8810735325494,Weibull,6.534957986387156
2M,0.125,0.87390311706731,0.8473862976110846,0.026516819456225416,413.30105810044176,0.0,413.30105810044176,Weibull,2.215888907510892
3M,0.2083,0.8473862976110846,0.8296157500004318,0.017770547610652887,276.9783963959829,0.0,276.9783963959829,Weibull,1.485003108907737
6M,0.375,0.8296157500004318,0.7949352773769053,0.03468047262352647,540.5428073449356,0.0,540.5428073449356,Weibull,2.898087937000516
9M,0.625,0.7949352773769053,0.7719262315399099,0.023009045836995368,358.62758752083835,0.0,358.62758752083835,Weibull,1.9227603644839732
1Y,0.875,0.7719262315399099,0.7534323989691553,0.018493832570754654,288.25178609536533,0.0,288.25178609536533,Weibull,1.54544471362978
2Y,1.5,0.7534323989691553,0.7062132518086828,0.047219147160472486,735.975274721041,0.0,735.975274721041,Weibull,3.94588742393276
3Y,2.5,0.7062132518086828,0.6754637100453215,0.03074954176336131,479.27384986276223,0.0,479.27384986276223,Weibull,2.5695980853570433
4Y,3.5,0.6754637100453215,0.652231356985912,0.023232353059409516,362.10813734536003,0.0,362.10813734536003,Weibull,1.9414211242304973
5Y,4.5,0.652231356985912,0.6334081630212904,0.01882319396462151,10165.921686557218,0.0,10165.921686557218,Weibull,54.50398119811268
O/N,0.0027397260273972603,1.0,1.0,0.0,0.0,3065.331089785541,3065.331089785541,KaplanMeier,16.434589330408475
1M,0.0417,1.0,0.8818450023638388,0.11815499763616122,1841.607950889293,0.0,1841.607950889293,KaplanMeier,9.873670900130428
2M,0.125,0.8818450023638388,0.8670176299790112,0.014827372384827564,231.1049673817415,0.0,231.1049673817415,KaplanMeier,1.2390554624890762
3M,0.2083,0.8670176299790112,0.8472719298842176,0.019745700094793595,307.7638611819348,0.0,307.7638611819348,KaplanMeier,1.6500575373800193
6M,0.375,0.8472719298842176,0.8449006108204274,0.002371319063790178,36.96026515458046,0.0,36.96026515458046,KaplanMeier,0.19816025139425755
9M,0.625,0.8449006108204274,0.7657180514658745,0.07918255935455298,1234.1689627733451,0.0,1234.1689627733451,KaplanMeier,6.616923090332525
1Y,0.875,0.7657180514658745,0.7330757674140038,0.03264228405187064,508.7748385406748,0.0,508.7748385406748,KaplanMeier,2.7277658719880282
2Y,1.5,0.7330757674140038,0.685020282812528,0.048055484601475795,749.010742638538,0.0,749.010742638538,KaplanMeier,4.015776305648557
3Y,2.5,0.685020282812528,0.6802425067047546,0.004777776107773413,74.46820400046757,0.0,74.46820400046757,KaplanMeier,0.39925682253344785
4Y,3.5,0.6802425067047546,0.5477085399992082,0.1325339667055464,2065.7239366160507,0.0,2065.7239366160507,KaplanMeier,11.075255355418957
5Y,4.5,0.5477085399992082,0.4652877030974298,0.08242083690177843,8536.789997986572,0.0,8536.789997986572,KaplanMeier,45.76948907227623
O/N,0.0027397260273972603,0.9999987912453423,0.9745228258183186,0.025475965427023683,397.0779182058799,3065.331089785541,3462.409007991421,LogNormal,18.563498843522027
1M,0.0417,0.9745228258183186,0.8982467279572859,0.07627609786103273,1188.8677677117296,0.0,1188.8677677117296,LogNormal,6.374043442031152
2M,0.125,0.8982467279572859,0.8713918507515834,0.026854877205702454,418.5701525251546,0.0,418.5701525251546,LogNormal,2.2441388421759783
3M,0.2083,0.8713918507515834,0.8535777677161032,0.017814083035480266,277.65695579771324,0.0,277.65695579771324,LogNormal,1.488641164562112
6M,0.375,0.8535777677161032,0.8194504243434151,0.03412734337268808,531.9215281219425,0.0,531.9215281219425,LogNormal,2.851865464000842
9M,0.625,0.8194504243434151,0.7973462258300554,0.022104198513359652,344.5242989686287,0.0,344.5242989686287,LogNormal,1.8471464262910737
1Y,0.875,0.7973462258300554,0.7799086020199627,0.01743762381009273,271.7893216177847,0.0,271.7893216177847,LogNormal,1.4571821947922459
2Y,1.5,0.7799086020199627,0.7367164770399905,0.04319212497997216,673.2086020081873,0.0,673.2086020081873,LogNormal,3.609367661643696
3Y,2.5,0.7367164770399905,0.7095813556009141,0.02713512143907648,422.9381438814045,0.0,422.9381438814045,LogNormal,2.2675575666256638
4Y,3.5,0.7095813556009141,0.689567821031343,0.020013534569571112,311.9384294028356,0.0,311.9384294028356,LogNormal,1.6724392352562765
5Y,4.5,0.689567821031343,0.673643694205203,0.015924126826139973,10747.861768820097,0.0,10747.861768820097,LogNormal,57.62401814901956
O/N,0.0027397260273972603,1.0,0.9116371085797772,0.0883628914202228,1377.257049288335,3065.331089785541,4442.588139073876,LogLogistic,23.818670639891916
1M,0.0417,0.9116371085797772,0.813356211959136,0.09828089662064121,1531.8427849700045,0.0,1531.8427849700045,LogLogistic,8.212883487079553
2M,0.125,0.813356211959136,0.7852170248856615,0.028139187073474514,438.58788610573345,0.0,438.58788610573345,LogLogistic,2.351462723703359
3M,0.2083,0.7852170248856615,0.767382882719135,0.017834142166526457,277.9696049108413,0.0,277.9696049108413,LogLogistic,1.490317414085662
6M,0.375,0.767382882719135,0.7345744280886035,0.0328084546305315,511.364835282142,0.0,511.364835282142,LogLogistic,2.741651984635027
9M,0.625,0.7345744280886035,0.7140665046943585,0.02050792339424501,319.6441583907359,0.0,319.6441583907359,LogLogistic,1.7137530404206076
1Y,0.875,0.7140665046943585,0.6982180266309124,0.015848478063446136,247.02030210361914,0.0,247.02030210361914,LogLogistic,1.324384577859889
2Y,1.5,0.6982180266309124,0.6599769291537474,0.038241097477164976,596.040037015971,0.0,596.040037015971,LogLogistic,3.195633015135172
3Y,2.5,0.6599769291537474,0.6365569807789422,0.02341994837480521,365.0320680405824,0.0,365.0320680405824,LogLogistic,1.9570976038012302
4Y,3.5,0.6365569807789422,0.6195305707332593,0.017026410045682838,265.3799902039385,0.0,265.3799902039385,LogLogistic,1.4228189476963449
5Y,4.5,0.6195305707332593,0.6061158513018069,0.013414719431452449,9656.235010851295,0.0,9656.235010851295,LogLogistic,51.77132656569123
O/N,0.0027397260273972603,0.8356541066959153,0.8356541066959153,0.0,0.0,3065.331089785541,3065.331089785541,Flat,16.434589330408475
1M,0.0417,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
2M,0.125,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
3M,0.2083,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
6M,0.375,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
9M,0.625,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
1Y,0.875,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
2Y,1.5,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
3Y,2.5,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
4Y,3.5,0.8356541066959153,0.8356541066959153,0.0,0.0,0.0,0.0,Flat,0.0
5Y,4.5,0.8356541066959153,0.8356541066959153,0.0,13024.817213601247,0.0,13024.817213601247,Flat,69.83177860377482
